date,title,word
2018-07-13 09:37:40,2019国家公务员考试申论范文：建设以人为核心的智慧城市,"	智慧城市是以智慧化的规划理念，发展方式，管理手段为表征的城镇化发展理念，这一理念的提出可谓应势而动，顺势而为，与人们期盼相呼应，与时代发展相契合，对于人民幸福、国家富强而言弥足珍贵。然而当前落实却不尽如人意，从城市领导夸夸其谈，市政规划饱受诟病，到服务系统单独推动，信息传播缓慢现象严重.......诸如此类的让人扼腕叹息的同时，更是将关于智慧城市的思考引向深处。因此，务必坚定信念，树立以人为本的智慧城市发展观念，方能保证新型城镇化建设行稳致远。
	供给改革，社会服务信息化发展是打造智慧城市的关键举措。“明者因时而变，知者随事而制”随着时代的前行政府服务也需不断与时俱进，尤其是当下的社会服务更需提高效率，才能更好的获得群众满意与认可。例如当前的政府媒体，一方面快速的将地方政府工作内容传递给群众，保障政策落实到位和群众知情权利，而另一方面也可以快速手机群众反馈，更加高效便捷，大大提高了政府服务水平。因此加大信息化社会信息化服务覆盖面积，打破部门壁垒，丰富网络政务的项目组成，才可以实实在在的提高群众获得高。
	转型升级，基础设施建设现代化是打造智慧城市的现实途径。“工欲善其事，必先利其器”想要打好智慧城市这场攻坚克难的长久战，也必须完善基础设施的升级换代。首先保障已有的智慧公交设施的有效运行，切实为群众出行提供便利，避免形象工程;其次像是冷链高级基础设施也应由政府主导加以完善，减少企业发展负担，为农业发展提供动力;最后加强农业基础设施建设，并帮助当地农民提升技术含量，加快现代化农业发展。
	因地制宜，发展规划多元化是打造智慧城市的根本保障。“同心同德，同向同行”习近平总书记的号召响彻耳畔，告诉我们务必重视群众力量，将群众作为社会发展前行的主力军，而今天城镇化也需要群众的加入。城市建设口号化问题明显，领导按照中央的主要方针和倾向布置工作，但在这其中存在的很多与当地情况不符的举措，不仅影响智慧城市的打造，更会浪费财政资源，设置引发群众对于政府的质疑不满，因此创新管理方式，通过倾听民声，保证群众知情权，参与权，建议权，通过互联网技术与群众积极沟通，保证“共治共享”，因地制宜的制定政策。
	权与法的冲突，创新与守旧的龃龉，剪不断，理还乱，成为智慧城市发展的羁绊。为此发展智慧城市更需文火慢炖，唯有因地制宜制定政策、加强基础服务信息化与设施现代化建设，方能使城镇化不再是纸上谈兵，让现代化强国不在是美好愿景。"
2018-07-16 09:56:34,2019国家公务员考试申论范文：科学离不开公众认同,"	从九天揽月的嫦娥号到遨游星汉的天宫二号;从傲视群雄的中国天眼到探秘未知的悟空号;从连接万物的墨子号到五洋捉鳖的蛟龙号。科学技术一直处于不断进步之中。然而，科学却缺乏公众认同：科学权威信任下降、公众面对科学无法做出正确选择等。不难发现，这与公众对科学界的误解密切相关，这必然导致科学无法有效普及，同时会造成伪科学泛滥。可见，科学发展离不开公众认同。
	倡导科学的公众认同需要转变思想观念。转变思想观念，统一公众思想是实现科学公众认同的关键之举和必由之路。然而，当前公共对社会事务的认识仍停留在经验方面，习惯难以改变，缺乏科学认识，追本溯源，关在在于政府缺乏对公众的正确引导，未培育公共的科学意识。如果听之任之，势必造成公众无法有效获取科学知识，无法在科学方面取得进步。由此可知，转变公众思想观念已势在必行，具体来说，一方面要加强宣传，政府部门要通过官方微博、媒体等形式加大宣传力度，宣传科学认识，以提高公众对科学的认同度。另一方面要引导公共转变习惯，改变以经验为主的思维方式，学会接受科学知识的熏陶，提升科学素养。
	倡导科学的公众认同需要维护科学权威。维护科学权威，提高科学权威信任度是倡导科学认同的有效途径，维护科学权威对公众认同起着不可或缺的作用。然而，当前科学权威却逐渐消失、公众与科学界存在较大的误解、科学界浮躁之风盛行等问题频现。如若听之任之，科学权威消失必然导致公众对科学的摒弃，转而依赖自身知识和经验，不利于科学的长远发展。由此可知，维护科学权威，提高信任度已势在必行!具体来说一方面要求真务实，科学界要对个体科学家的不当行为进行抑制，追求科学的真理。另一方面要消除公众误解，对于科学研究的过程、科学结论的形成、科学共识的达成都要公开透明，进行严密检验。
	立于潮头，方知浪高风急;登临险峰，才见前路艰辛，在时代浪潮下，科技强国的蓝图已徐徐展开。实现科学的公众认同既需要维护科学权威，又需要树立科学标杆;实现科学的公众认同既需要转变思想观念，又需要创新思维认知。"
2018-07-17 09:35:27,2019国家公务员考试申论范文：建设美丽中国引导形成绿色生活方式,"	“倡导简约适度、绿色低碳的生活方式，反对奢侈浪费和不合理消费。”“加快形成节约资源和保护环境的空间格局、产业结构、生产方式、生活方式，给自然生态留下休养生息的时间和空间。”“绿色发展方式和生活方式全面形成，人与自然和谐共生”……在全国生态环境保护大会上发表重要讲话时，习近平总书记多次强调要形成绿色生活方式。
